event_id,date,organizer,place,artist_id,fee
39,2012-12-18,Happy Hamsters,Barbican Centre,12,7700.0
40,2012-12-22,Pantomime Records,Alexandra Palace,46,18800.0
41,2012-12-11,O-mega Events,Wembley Stadium,24,3000.0
42,2012-12-28,Shady Santa Ltd.,Courthouse Hotel Shoreditch,28,13600.0
43,2013-01-14,Mirabelle Lafleur,Marylebone Theatre,28,4700.0
44,2013-02-05,Night Out London,Lio London,3,5400.0
45,2013-02-16,Arts On End,Barbican Centre,23,5500.0
46,2013-03-09,Mile End Move It,Lexus Car Dealer Reading,48,7200.0
47,2013-03-14,Moshpit Gigs Ltd.,Boisdale of Canary Wharf,2,12800.0
48,2013-05-03,Let's!,Lexus Car Dealer Reading,6,12500.0
49,2013-05-06,Pantomime Records,Courthouse Hotel Shoreditch,27,4800.0
50,2013-06-23,Let's!,Indigo at The O2,12,6400.0
51,2013-07-03,Mirabelle Lafleur,The Amadeus,20,3100.0
52,2013-07-04,The Night Sky,Brewers Hall,30,44000.0
53,2013-07-11,Jacky Coyote,Indigo at The O2,40,3000.0
54,2013-07-17,Happy Hamsters,The Bloomsbury Ballroom,30,21500.0
55,2013-07-30,Einstein Records,Dalston Roofpark,17,11200.0
56,2013-09-02,Pantomime Records,BMA House,18,8500.0
57,2013-09-04,Event and Odd,The Dutch Hall,28,9900.0
58,2013-09-13,Night Out London,Studio 338,19,5400.0
59,2013-09-22,Kenny Meyer,Events @ No 6,58,5600.0
60,2013-09-26,special.co.uk,Electric Brixton,32,15600.0
61,2013-10-08,Underground Action Lab,The O2,26,4600.0
62,2013-10-13,special.co.uk,Brewers Hall,38,25300.0
63,2013-10-18,Night Out London,Brewers Hall,55,23600.0
64,2013-11-01,O-mega Events,Studio 338,65,2200.0
65,2013-11-05,O-mega Events,Royal Albert Hall,47,15300.0
66,2013-11-08,The Night Sky,Barbican Centre,6,4800.0
67,2013-11-15,Mirabelle Lafleur,VUE West End,46,5000.0
68,2013-11-15,Heaven & Sky,Alexandra Palace,30,26100.0
69,2013-11-26,Brutal Tunes Inc.,Courthouse Hotel Shoreditch,15,7400.0
70,2013-12-02,Night Out London,The O2,45,13200.0
71,2014-01-18,Kenny Meyer,Hijingo,57,17800.0
72,2014-01-25,Yes and Yes,VUE West End,38,8100.0
73,2014-01-27,Jacky Coyote,Hijingo,8,4700.0
74,2014-02-10,LHC Encounters,The O2,20,4600.0
75,2014-02-18,Hackney Events,Hijingo,6,7900.0
76,2014-02-25,Event and Odd,Lexus Car Dealer Reading,3,18800.0
77,2014-02-26,Excellent Experiences Corp.,London Museum Docklands,14,7100.0
78,2014-03-01,Mile End Move It,The Dutch Hall,27,3900.0
79,2014-03-03,Heaven & Sky,The Covent Garden Comedy Cellar,32,24800.0
80,2014-03-08,All Night Long Entertainment,Royal Albert Hall,33,3400.0
81,2014-03-12,The Night Sky,Curve Club,65,11900.0
82,2014-03-21,Shady Santa Ltd.,Dixie Queen,35,2300.0
83,2014-03-21,All Night Long Entertainment,Lio London,29,10300.0
84,2014-03-21,Urban Entertainment Inc.,VUE West End,38,7300.0
85,2014-03-22,Moshpit Gigs Ltd.,Puttshack Bank,66,6600.0
86,2014-03-24,Event and Odd,ABBA Arena,5,11000.0
87,2014-03-28,Urban Entertainment Inc.,ILEC Conference Centre,81,29700.0
88,2014-04-01,Urban Entertainment Inc.,Electric Brixton,65,19200.0
89,2014-04-04,Urban Entertainment Inc.,Marylebone Theatre,16,7400.0
90,2014-04-07,Urban Entertainment Inc.,ABBA Arena,6,2400.0
91,2014-04-16,special.co.uk,Lighthouse Theatre,68,16200.0
92,2014-05-02,Ultimate Entertainment Inc.,Alexandra Palace,25,9300.0
93,2014-05-09,Night Out London,Eventim Apollo,4,2300.0
94,2014-05-20,Moshpit Gigs Ltd.,Courthouse Hotel Shoreditch,68,16300.0
95,2014-05-29,Let's!,Dixie Queen,16,30100.0
96,2014-05-30,Mile End Move It,London Stadium,85,1700.0
97,2014-06-07,Hull McRoasted,ILEC Conference Centre,12,18700.0
98,2014-06-16,special.co.uk,Indigo at The O2,31,18300.0
99,2014-06-26,Night Out London,Hijingo,85,12100.0
100,2014-07-07,Pantomime Records,Royal Albert Hall,46,10700.0
101,2014-07-25,Palavarium,Kensington Conference and Event Centre,17,12700.0
102,2014-08-06,LHC Encounters,Brewers Hall,65,6600.0
103,2014-08-22,Kenny Meyer,Big Belly Comedy Club,56,5200.0
104,2014-09-07,Night Out London,Backyard Comedy Club,65,4000.0
105,2014-09-09,Eventually Ltd.,Copper Box Arena,32,14400.0
106,2014-09-15,Happy Hamsters,Cutty Sark,3,6200.0
107,2014-09-15,Pantomime Records,The Ballroom South Bank,65,8200.0
108,2014-09-17,Pantomime Records,King's Cross Vision Hall,72,21400.0
109,2014-09-20,Mirabelle Lafleur,Electric Brixton,46,4000.0
110,2014-09-29,O-mega Events,Marylebone Theatre,85,5700.0
111,2014-10-14,Palavarium,Dalston Roofpark,66,16400.0
112,2014-10-21,O-mega Events,Royal Albert Hall,43,16400.0
113,2014-10-25,Brutal Tunes Inc.,Big Belly Comedy Club,65,14100.0
114,2014-10-26,Shady Santa Ltd.,Lio London,44,25500.0
115,2014-10-28,Event and Odd,The Amadeus,38,1900.0
116,2014-11-06,Urban Entertainment Inc.,Backyard Comedy Club,77,7200.0
117,2014-11-14,O-mega Events,EartH,27,17900.0
118,2014-11-16,Palavarium,Electric Brixton,29,11000.0
119,2014-11-27,O-mega Events,Kensington Conference and Event Centre,73,8300.0
120,2014-11-30,Eventually Ltd.,Abbey Road Studios,72,5500.0
121,2014-12-02,O-mega Events,The Covent Garden Comedy Cellar,65,19700.0
122,2014-12-04,Shady Santa Ltd.,O2 Forum Kentish Town,46,13800.0
123,2014-12-05,Ultimate Entertainment Inc.,Courthouse Hotel Shoreditch,65,20500.0
124,2015-01-30,Underground Action Lab,Abbey Road Studios,65,1400.0
125,2014-12-08,All Night Long Entertainment,London Museum Docklands,46,4000.0
126,2015-01-13,Hull McRoasted,Hijingo,18,11500.0
127,2015-01-10,Yes and Yes,Curve Club,88,6700.0
128,2015-01-11,Brutal Tunes Inc.,The Amadeus,66,13800.0
129,2015-01-03,Pantomime Records,Dixie Queen,46,13000.0
130,2014-12-08,Yes and Yes,VUE West End,95,11700.0
131,2015-02-02,The Night Sky,Brewers Hall,27,7700.0
132,2015-02-06,Ultimate Entertainment Inc.,Abbey Road Studios,11,3200.0
133,2015-02-07,Einstein Records,Abbey Road Studios,32,5000.0
134,2015-02-28,Pantomime Records,Eventim Apollo,6,5900.0
135,2015-03-04,Heaven & Sky,The Octagon at QMUL,91,2000.0
136,2015-03-10,Shady Santa Ltd.,Copper Box Arena,95,2200.0
137,2015-03-13,Heaven & Sky,ILEC Conference Centre,20,8300.0
138,2015-03-21,Let's!,Hijingo,72,4900.0
139,2015-03-22,Einstein Records,Royal Albert Hall,6,21900.0
140,2015-03-31,LHC Encounters,Eventim Apollo,13,4200.0
141,2015-04-01,Hull McRoasted,Barbican Centre,75,14100.0
142,2015-04-01,Happy Hamsters,VUE West End,12,5300.0
143,2015-04-14,special.co.uk,Hijingo,88,6500.0
144,2015-04-19,Event and Odd,The Dutch Hall,30,16400.0
145,2015-04-26,Excellent Experiences Corp.,Brewers Hall,22,4700.0
146,2015-05-21,Mirabelle Lafleur,Backyard Comedy Club,75,9400.0
147,2015-05-25,Ultimate Entertainment Inc.,The Covent Garden Comedy Cellar,5,6400.0
148,2015-05-30,special.co.uk,The Covent Garden Comedy Cellar,54,8600.0
149,2015-05-31,Brutal Tunes Inc.,Royal Albert Hall,43,6200.0
150,2015-06-01,Urban Entertainment Inc.,The Bloomsbury Ballroom,33,30300.0
151,2015-06-04,Kenny Meyer,Lio London,47,14400.0
152,2015-06-05,special.co.uk,Barbican Centre,86,13800.0
153,2015-06-08,Hull McRoasted,Lexus Car Dealer Reading,66,16800.0
154,2015-06-11,Yes and Yes,The Dutch Hall,30,37000.0
155,2015-06-11,Excellent Experiences Corp.,The Bloomsbury Ballroom,73,4700.0
156,2015-06-27,Let's!,Boisdale of Canary Wharf,37,22000.0
157,2015-07-06,O-mega Events,Lexus Car Dealer Reading,47,13800.0
158,2015-07-07,Moshpit Gigs Ltd.,King's Cross Vision Hall,68,4300.0
159,2015-07-08,Kenny Meyer,Boisdale of Canary Wharf,28,8600.0
160,2015-07-11,Night Out London,Wembley Stadium,57,5500.0
161,2015-07-18,Eventually Ltd.,Electric Brixton,79,2000.0
162,2015-08-07,Hull McRoasted,ABBA Arena,85,8300.0
163,2015-08-16,Ultimate Entertainment Inc.,Linbury Theatre,113,1800.0
164,2015-08-09,Event and Odd,London Museum Docklands,93,2200.0
165,2015-08-08,Arts On End,London Stadium,72,19100.0
166,2015-08-25,Kenny Meyer,Indigo at The O2,33,5500.0
167,2015-08-28,Excellent Experiences Corp.,Eventim Apollo,30,4800.0
168,2015-09-10,Hackney Events,The Covent Garden Comedy Cellar,10,17300.0
169,2015-09-11,Go All Out,The Amadeus,88,4200.0
170,2015-09-14,Palavarium,The Amadeus,76,18500.0
171,2015-09-15,Mirabelle Lafleur,Dalston Roofpark,11,10100.0
172,2015-10-01,Ultimate Entertainment Inc.,Cutty Sark,17,24900.0
173,2015-10-07,Shady Santa Ltd.,Brewers Hall,76,15000.0
174,2015-10-11,Palavarium,Marylebone Theatre,15,19700.0
175,2015-10-19,Kenny Meyer,O2 Forum Kentish Town,22,1400.0
176,2015-10-29,Hull McRoasted,Indigo at The O2,5,4800.0
177,2015-10-31,O-mega Events,ABBA Arena,115,23800.0
178,2015-11-07,Ultimate Entertainment Inc.,The O2,80,12600.0
179,2015-11-10,Jacky Coyote,Lio London,6,10200.0
180,2015-11-12,Moshpit Gigs Ltd.,Abbey Road Studios,76,5700.0
181,2015-11-15,Yes and Yes,EartH,95,46700.0
182,2015-11-19,Eventually Ltd.,Abbey Road Studios,95,16100.0
183,2015-11-22,Underground Action Lab,Marylebone Theatre,90,5500.0
184,2015-11-22,All Night Long Entertainment,Big Belly Comedy Club,12,3300.0
185,2015-11-23,Brutal Tunes Inc.,Kensington Conference and Event Centre,17,9100.0
186,2015-11-24,Hull McRoasted,The Bloomsbury Ballroom,4,16000.0
187,2015-11-29,Kenny Meyer,Lexus Car Dealer Reading,15,6700.0
188,2015-12-04,Heaven & Sky,VUE West End,95,3500.0
189,2015-12-12,Eventually Ltd.,Hijingo,35,6500.0
190,2015-12-23,Palavarium,Abbey Road Studios,85,20900.0
191,2015-12-24,Palavarium,Dixie Queen,78,4000.0
192,2015-12-26,Excellent Experiences Corp.,Lio London,13,5400.0
193,2015-12-29,Eventually Ltd.,London Museum Docklands,31,3900.0
194,2015-12-30,Ultimate Entertainment Inc.,London Museum Docklands,94,10300.0
195,2015-12-30,Night Out London,The Ballroom South Bank,76,14000.0
196,2015-12-31,Let's!,The Ballroom South Bank,29,4700.0
197,2016-01-01,Pantomime Records,The O2,25,22800.0
198,2016-01-11,Night Out London,Boisdale of Canary Wharf,72,6200.0
199,2016-01-11,O-mega Events,EartH,23,28100.0
200,2016-01-15,Brutal Tunes Inc.,Royal Albert Hall,33,4300.0
201,2016-01-15,Urban Entertainment Inc.,Lio London,15,12000.0
202,2016-01-17,Eventually Ltd.,Studio 338,88,6700.0
203,2016-01-20,Happy Hamsters,The Covent Garden Comedy Cellar,88,19500.0
204,2016-02-26,LHC Encounters,Royal Albert Hall,12,1800.0
205,2016-01-23,Moshpit Gigs Ltd.,Linbury Theatre,122,8000.0
206,2016-01-24,Excellent Experiences Corp.,EartH,48,11300.0
207,2016-01-26,Excellent Experiences Corp.,The O2,76,23200.0
208,2016-01-30,Yes and Yes,Puttshack Bank,118,21300.0
209,2016-02-04,Heaven & Sky,ABBA Arena,66,6000.0
210,2016-02-08,O-mega Events,Linbury Theatre,27,3000.0
211,2016-02-11,Go All Out,Eventim Apollo,52,6600.0
212,2016-01-20,Mile End Move It,Indigo at The O2,74,3600.0
213,2016-02-27,Brutal Tunes Inc.,EartH,82,4600.0
214,2016-03-01,Night Out London,BMA House,85,5800.0
215,2016-03-08,Let's!,Alexandra Palace,62,12100.0
216,2016-03-14,Underground Action Lab,Electric Brixton,104,29300.0
217,2016-03-15,Mile End Move It,Royal Albert Hall,16,3800.0
218,2016-05-14,The Night Sky,Eventim Apollo,66,11100.0
219,2016-03-21,Hull McRoasted,The Ballroom South Bank,99,12200.0
220,2016-03-25,Happy Hamsters,Dixie Queen,53,15400.0
221,2016-03-30,LHC Encounters,Backyard Comedy Club,85,22700.0
222,2016-04-25,Night Out London,The Dutch Hall,115,9400.0
223,2016-03-31,Hackney Events,Backyard Comedy Club,66,21900.0
224,2016-05-09,Brutal Tunes Inc.,Hijingo,85,20500.0
225,2016-04-05,Mirabelle Lafleur,Copper Box Arena,68,5700.0
226,2016-04-10,Let's!,Abbey Road Studios,127,34300.0
227,2016-04-15,Einstein Records,EartH,28,4000.0
228,2016-04-21,Kenny Meyer,Lio London,29,3900.0
229,2016-04-22,Heaven & Sky,Dalston Roofpark,15,17400.0
230,2016-03-31,O-mega Events,Dalston Roofpark,30,24700.0
231,2016-04-27,Hackney Events,London Stadium,38,32900.0
232,2016-04-28,Yes and Yes,Indigo at The O2,63,2200.0
233,2016-04-30,Underground Action Lab,London Stadium,102,23300.0
234,2016-03-31,special.co.uk,King's Cross Vision Hall,73,24200.0
235,2016-05-17,Einstein Records,Lexus Car Dealer Reading,5,2400.0
236,2016-03-20,Go All Out,Dalston Roofpark,88,7300.0
237,2016-05-20,Shady Santa Ltd.,London Stadium,76,6800.0
238,2016-05-22,All Night Long Entertainment,VUE West End,105,2000.0
239,2016-05-22,Mile End Move It,The Octagon at QMUL,4,6500.0
240,2016-05-23,Event and Odd,Curve Club,47,22100.0
241,2016-05-28,Happy Hamsters,Dalston Roofpark,1,32200.0
242,2016-05-30,Moshpit Gigs Ltd.,Big Belly Comedy Club,84,12700.0
243,2016-05-31,Eventually Ltd.,King's Cross Vision Hall,146,5800.0
244,2016-06-04,Moshpit Gigs Ltd.,ILEC Conference Centre,146,5000.0
245,2016-07-15,Jacky Coyote,Dalston Roofpark,144,15300.0
246,2016-06-13,Heaven & Sky,Islington Assembly Hall,139,6700.0
247,2016-06-20,Shady Santa Ltd.,Courthouse Hotel Shoreditch,4,2300.0
248,2016-06-22,The Night Sky,Dalston Roofpark,95,23000.0
249,2016-06-25,O-mega Events,London Museum Docklands,139,7700.0
250,2016-06-26,Mile End Move It,BMA House,36,4800.0
251,2016-07-01,Hull McRoasted,Abbey Road Studios,105,34300.0
252,2016-07-03,O-mega Events,Studio 338,102,37000.0
253,2016-07-03,Hackney Events,ILEC Conference Centre,66,15300.0
254,2016-07-06,Night Out London,King's Cross Vision Hall,47,4000.0
255,2016-07-08,Pantomime Records,BMA House,29,7700.0
256,2016-07-08,Underground Action Lab,Studio 338,96,7900.0
257,2016-07-08,Go All Out,Royal Albert Hall,84,6900.0
258,2016-06-05,Ultimate Entertainment Inc.,ABBA Arena,50,37000.0
259,2016-07-17,Kenny Meyer,The Covent Garden Comedy Cellar,88,11600.0
260,2016-07-19,Underground Action Lab,Marylebone Theatre,55,43300.0
261,2016-07-20,Go All Out,Wembley Stadium,75,6300.0
262,2016-07-22,Kenny Meyer,The O2,17,2800.0
263,2016-07-26,Arts On End,Courthouse Hotel Shoreditch,74,7200.0
264,2016-07-26,Mile End Move It,ILEC Conference Centre,146,10000.0
265,2016-07-26,Eventually Ltd.,London Stadium,89,15600.0
266,2016-07-29,Urban Entertainment Inc.,Dixie Queen,146,6100.0
267,2016-07-30,Eventually Ltd.,Dalston Roofpark,77,16900.0
268,2016-07-31,Excellent Experiences Corp.,Curve Club,146,19600.0
269,2016-08-03,Underground Action Lab,Linbury Theatre,134,3000.0
270,2016-08-05,Heaven & Sky,VUE West End,67,28900.0
271,2016-08-05,Shady Santa Ltd.,The Covent Garden Comedy Cellar,56,24600.0
272,2016-08-07,Arts On End,The O2,146,8500.0
273,2016-08-08,Eventually Ltd.,Indigo at The O2,87,21600.0
274,2016-08-09,Event and Odd,The Ballroom South Bank,92,17400.0
275,2016-08-13,Palavarium,VUE West End,78,20200.0
276,2016-08-15,All Night Long Entertainment,Dalston Roofpark,22,34900.0
277,2016-09-13,Moshpit Gigs Ltd.,The O2,88,26000.0
278,2016-08-18,The Night Sky,Linbury Theatre,8,3600.0
279,2016-08-21,Urban Entertainment Inc.,Backyard Comedy Club,75,9400.0
280,2016-08-25,Event and Odd,Boisdale of Canary Wharf,39,22100.0
281,2016-08-25,Yes and Yes,Boisdale of Canary Wharf,102,4500.0
282,2016-08-27,Let's!,Lighthouse Theatre,146,9800.0
283,2016-08-27,Kenny Meyer,EartH,27,1700.0
284,2016-08-29,Excellent Experiences Corp.,Kensington Conference and Event Centre,146,3200.0
285,2016-09-15,Mile End Move It,Big Belly Comedy Club,138,5100.0
286,2016-08-31,Mirabelle Lafleur,Copper Box Arena,35,4000.0
287,2016-09-04,Mirabelle Lafleur,Electric Brixton,34,2200.0
288,2016-09-05,Kenny Meyer,Studio 338,75,26800.0
289,2016-08-17,Let's!,Kensington Conference and Event Centre,21,18300.0
290,2016-09-15,Einstein Records,Barbican Centre,146,20400.0
291,2016-08-30,Excellent Experiences Corp.,Cutty Sark,105,5600.0
292,2016-09-17,LHC Encounters,Big Belly Comedy Club,76,23600.0
293,2016-09-18,Kenny Meyer,Abbey Road Studios,88,1900.0
294,2016-09-20,Arts On End,ABBA Arena,109,3000.0
295,2016-09-25,Hackney Events,London Museum Docklands,82,32100.0
296,2016-09-26,Ultimate Entertainment Inc.,The Bloomsbury Ballroom,36,1400.0
297,2016-09-27,Happy Hamsters,Wembley Stadium,109,13800.0
298,2016-10-02,Kenny Meyer,The Dutch Hall,27,7500.0
299,2016-10-07,Einstein Records,Events @ No 6,119,13000.0
300,2016-10-14,Go All Out,Barbican Centre,83,22700.0
301,2016-10-18,Urban Entertainment Inc.,Electric Brixton,75,5100.0
302,2016-10-19,Let's!,ILEC Conference Centre,66,20300.0
303,2016-10-23,Underground Action Lab,The Dutch Hall,15,16700.0
304,2016-10-25,Pantomime Records,The Ballroom South Bank,95,10300.0
305,2016-10-28,Heaven & Sky,Kensington Conference and Event Centre,61,26900.0
306,2016-10-30,Einstein Records,EartH,12,23500.0
307,2016-11-04,Kenny Meyer,Courthouse Hotel Shoreditch,17,26400.0
308,2016-11-05,Hackney Events,Lighthouse Theatre,55,6600.0
309,2016-11-09,The Night Sky,Indigo at The O2,34,6100.0
310,2016-11-11,Let's!,Hijingo,116,10200.0
311,2016-11-20,Jacky Coyote,London Stadium,88,5700.0
312,2016-11-29,special.co.uk,The O2,33,2600.0
313,2016-12-07,LHC Encounters,Cutty Sark,38,18200.0
314,2016-12-09,Einstein Records,Royal Albert Hall,26,27300.0
315,2016-12-13,Palavarium,BMA House,105,5000.0
316,2016-12-27,Event and Odd,Abbey Road Studios,126,16200.0
317,2017-01-15,Underground Action Lab,Copper Box Arena,55,31800.0
318,2017-01-05,Yes and Yes,The Amadeus,124,14300.0
319,2017-01-05,Underground Action Lab,The Ballroom South Bank,15,5800.0
320,2017-01-09,Heaven & Sky,Cutty Sark,35,32100.0
321,2017-01-10,Arts On End,Hijingo,22,3200.0
322,2017-01-11,Underground Action Lab,Boisdale of Canary Wharf,72,5800.0
323,2016-12-28,Einstein Records,Brewers Hall,3,10900.0
324,2017-01-16,Palavarium,The Amadeus,18,35100.0
325,2017-01-17,Go All Out,Royal Albert Hall,74,4200.0
326,2017-01-19,Mile End Move It,Cutty Sark,13,2500.0
327,2017-01-21,Hull McRoasted,EartH,145,5000.0
328,2017-01-26,Heaven & Sky,ILEC Conference Centre,25,10800.0
329,2017-01-28,Hackney Events,The Amadeus,36,20200.0
330,2017-02-25,Mile End Move It,The Covent Garden Comedy Cellar,102,1700.0
331,2017-01-29,Eventually Ltd.,Lio London,3,17300.0
332,2017-02-02,Einstein Records,Puttshack Bank,116,13700.0
333,2017-02-02,Hull McRoasted,Boisdale of Canary Wharf,78,5400.0
334,2017-02-03,Eventually Ltd.,Islington Assembly Hall,57,3900.0
335,2017-02-03,special.co.uk,Lighthouse Theatre,44,2300.0
336,2017-02-03,Go All Out,The Octagon at QMUL,16,3700.0
337,2017-02-06,Yes and Yes,Copper Box Arena,132,6600.0
338,2017-02-11,Mirabelle Lafleur,Big Belly Comedy Club,27,13800.0
339,2017-02-12,Hackney Events,Electric Brixton,127,30300.0
340,2017-02-13,Mile End Move It,Puttshack Bank,35,35700.0
341,2017-02-14,LHC Encounters,Lio London,66,2000.0
342,2017-02-17,Mile End Move It,Dixie Queen,78,15900.0
343,2017-02-22,Eventually Ltd.,Royal Albert Hall,39,11100.0
344,2017-02-23,Eventually Ltd.,The O2,107,30300.0
345,2017-01-29,Eventually Ltd.,The Dutch Hall,57,6100.0
346,2017-02-27,All Night Long Entertainment,Kensington Conference and Event Centre,66,13800.0
347,2017-03-03,Happy Hamsters,Events @ No 6,98,4800.0
348,2017-03-08,Let's!,Puttshack Bank,20,5600.0
349,2017-03-10,Einstein Records,Puttshack Bank,159,16100.0
350,2017-03-11,special.co.uk,Lio London,163,7800.0
351,2017-03-12,Underground Action Lab,Courthouse Hotel Shoreditch,11,14900.0
352,2017-03-12,Excellent Experiences Corp.,Events @ No 6,76,2600.0
353,2017-03-26,Mirabelle Lafleur,The Bloomsbury Ballroom,66,6500.0
354,2017-03-27,Arts On End,Dixie Queen,12,5900.0
355,2017-04-02,Urban Entertainment Inc.,Abbey Road Studios,21,6400.0
356,2017-05-27,Palavarium,Royal Albert Hall,159,4000.0
357,2017-04-09,Palavarium,Dalston Roofpark,135,10800.0
358,2017-04-11,Night Out London,The O2,76,7600.0
359,2017-06-12,Eventually Ltd.,Courthouse Hotel Shoreditch,29,11100.0
360,2017-04-14,special.co.uk,The Dutch Hall,70,4600.0
361,2017-04-18,Underground Action Lab,The Ballroom South Bank,75,5500.0
362,2017-04-27,All Night Long Entertainment,The Octagon at QMUL,109,24400.0
363,2017-04-28,Eventually Ltd.,The O2,96,9500.0
364,2017-05-01,Urban Entertainment Inc.,Linbury Theatre,133,6300.0
365,2017-05-08,O-mega Events,Curve Club,130,15400.0
366,2017-05-14,Underground Action Lab,Abbey Road Studios,88,4200.0
367,2017-05-15,Yes and Yes,O2 Forum Kentish Town,58,6500.0
368,2017-05-22,Mirabelle Lafleur,The Dutch Hall,47,9300.0
369,2017-04-04,Mile End Move It,Brewers Hall,175,7000.0
370,2017-05-23,Happy Hamsters,VUE West End,159,5200.0
371,2017-05-29,O-mega Events,London Stadium,25,43300.0
372,2017-05-30,Let's!,Lighthouse Theatre,8,6700.0
373,2017-05-31,Eventually Ltd.,ABBA Arena,12,12900.0
374,2017-06-01,Event and Odd,EartH,133,4500.0
375,2017-06-05,Mirabelle Lafleur,London Stadium,102,19100.0
376,2017-06-05,Kenny Meyer,Curve Club,115,5000.0
377,2017-08-01,Hackney Events,Big Belly Comedy Club,22,5000.0
378,2017-09-06,Arts On End,Brewers Hall,90,2400.0
379,2017-06-07,LHC Encounters,King's Cross Vision Hall,88,4900.0
380,2017-06-08,Night Out London,Lexus Car Dealer Reading,99,3300.0
381,2017-06-08,Heaven & Sky,Boisdale of Canary Wharf,159,17700.0
382,2017-06-11,Heaven & Sky,King's Cross Vision Hall,157,19500.0
383,2017-04-14,LHC Encounters,Eventim Apollo,66,24300.0
384,2017-06-14,Einstein Records,EartH,136,8200.0
385,2017-06-15,Kenny Meyer,Boisdale of Canary Wharf,70,7100.0
386,2017-06-20,Kenny Meyer,The Bloomsbury Ballroom,165,40200.0
387,2017-06-22,Night Out London,Lighthouse Theatre,138,20000.0
388,2017-06-28,Brutal Tunes Inc.,Puttshack Bank,55,3800.0
389,2017-06-30,Jacky Coyote,Hijingo,45,24900.0
390,2017-07-06,Underground Action Lab,Big Belly Comedy Club,19,7100.0
391,2017-07-06,Hackney Events,Puttshack Bank,61,17500.0
392,2017-07-08,Excellent Experiences Corp.,Big Belly Comedy Club,151,27600.0
393,2017-06-06,Urban Entertainment Inc.,Islington Assembly Hall,129,5200.0
394,2017-07-13,Heaven & Sky,ILEC Conference Centre,138,6500.0
395,2017-07-15,Arts On End,The Dutch Hall,76,6500.0
396,2017-07-16,Palavarium,Kensington Conference and Event Centre,11,13900.0
397,2017-07-19,Pantomime Records,Islington Assembly Hall,137,21400.0
398,2017-07-20,O-mega Events,Curve Club,104,14700.0
399,2017-07-22,Hackney Events,Royal Albert Hall,102,2700.0
400,2017-07-24,Event and Odd,Wembley Stadium,2,22800.0
401,2017-07-25,Palavarium,Indigo at The O2,74,17300.0
402,2017-07-27,Hull McRoasted,Backyard Comedy Club,102,3600.0
403,2017-07-28,Yes and Yes,Puttshack Bank,82,5100.0
404,2017-07-29,Palavarium,Electric Brixton,168,26300.0
405,2017-07-30,Happy Hamsters,ILEC Conference Centre,18,4500.0
406,2017-07-30,Moshpit Gigs Ltd.,Linbury Theatre,154,16100.0
